CODUG,SIGLA,CMA,CIDADE/ESTADO
160001,7º BEC,CMA,Rio Branco/AC
160002,Cmdo Fron-AC/4º BIS,CMA,Rio Branco/AC
160004,59º BI Mtz,CMNE,Maceió/AL
160005,54º BIS,CMA,Humaitá/AM
160006,1º BIS (Amv),CMA,Manaus/AM
160007,4º B Av Ex,CMA,Manaus/AM
160008,CECMA,CMA,Manaus/AM
160009,12ª ICFEx,CMA,Manaus/AM
160011,4º CGEO,CMA,Manaus/AM
160012,CIGS,CMA,Manaus/AM
160013,CMM,CMA,Manaus/AM
160014,Cmdo 12ª RM,CMA,Manaus/AM
160015,Cmdo 2º Gpt E,CMA,Manaus/AM
160016,Cmdo CMA,CMA,Manaus/AM
160017,CRO/12,CMA,Manaus/AM
160018,12º B Sup,CMA,Manaus/AM
160019,H Gu Tabatinga,CMA,Tabatinga/AM
160020,HMAM,CMA,Manaus/AM
160021,Pq R Mnt/12,CMA,Manaus/AM
160022,21ª Cia E Cnst,CMA,São Gabriel da Cachoeira/AM
160023,10ª Cia E Cmb,CMNE,São Bento do Una/PE
160024,Cmdo Fron-Sol/8º BIS,CMA,Tabatinga/AM
160026,Cmdo 22ª Bda Inf Sl,CMN,Macapá/AP
160027,4º BEC,CMNE,Barreiras/BA
160028,35º BI,CMNE,Feira de Santana/BA
160030,1ª Cia Inf,CMNE,Paulo Afonso/BA
160033,19º BC,CMNE,Salvador/BA
160034,6º BPE,CMNE,Salvador/BA
160035,D C T,CMP,Brasília/DF
160036,Cmdo 6ª RM,CMNE,Salvador/BA
160038,6º D Sup,CMNE,Salvador/BA
160039,H Ge Salvador,CMNE,Salvador/BA
160040,Pq R Mnt/6,CMNE,Salvador/BA
160041,40º BI,CMNE,Cratéus/CE
160044,23º BC,CMNE,Fortaleza/CE
160045,Ba Adm Gu F,CMNE,Fortaleza/CE
160046,CMF,CMNE,Fortaleza/CE
160047,Cmdo 10ª RM,CMNE,Fortaleza/CE
160049,10º D Sup,CMNE,Fortaleza/CE
160050,H Ge Fortaleza,CMNE,Fortaleza/CE
160051,Pq R Mnt/10,CMNE,Fortaleza/CE
160052,1º RCG,CMP,Brasília/DF
160053,11º GAAAe,CMP,Brasília/DF
